id,countryCode,title,category,year,cluster
hr-integrated-both-energy-and-national-and-,HR,Integrated both energy and national and climate and plan for the Republic of Croatia for the 2021 to 2030,Policy,2019,6
hr-decree-on-the-quotas-for-incentivising-t,HR,Decree on the Quotas for Incentivising the Production of Electricity from Renewable Energy Sources and Highly-Efficient Cogeneration,Policy,2020,11
cy-11217,CY,Law No. 112(?)/2013 on the promotion and encouragement of the use of renewable energy sources,Law,2013,9
cy-10290,CY,Cyprus’ Integrated National Energy and Climate Plan,Policy,2020,6
cz-12261,CZ,Roads Act No. 13/1997 Coll.,Law,1997,7
cz-11664,CZ,Law 239 on the integrated rescue system and on the amendment of some laws,Law,2000,10
cz-12268,CZ,Act No. 56/2001 Coll. on the Conditions of Operation of Vehicles on Roads and other provisions,Law,2001,4
cz-11789,CZ,Adaptation strategy to climate change in the Czech Republic,Policy,2015,0
cz-10422,CZ,Czech National Action Plan for Clean Mobility,Policy,2015,5
cz-12545,CZ,"State Environmental Policy of the Czech Republic 2012–2020, as amended by the 2016 update",Policy,2016,0
cz-10834,CZ,"State Environmental Policy of the Czech Republic 2012–2020, as amended in 2016",Policy,2016,0
cz-11863,CZ,"CLIMATE PROTECTION POLICY OF THE CZECH REPUBLIC, Executive summary",Policy,2017,8
cz-11012,CZ,Climate protection policy,Policy,2017,8
cz-10297,CZ,National Energy and Climate Plan of the Czech Republic,Policy,2019,6
cz-10676,CZ,The national plan of the Czech Republic in the field of energy and climate,Policy,2019,6
dk-10260,DK,"Heat Supply Act no 772/2000, amended by Act no 345/2005 and no 622/2010",Law,2000,9
dk-danish-strategy-for-adaptation-to-a-chan,DK,Danish strategy for adaptation to a changing climate (2008) and the Action Plan for a climate-proof Denmark (2012),Policy,2008,0
dk-11660,DK,Emergency Management Act,Law,2009,10
dk-executive-order-of-the-sustainable-biofu,DK,Executive Order of the Sustainable Biofuel Act and on the reduction of greenhouse gases from transport,Law,2011,4
dk-10181,DK,Carbon Dioxide Tax on Certain Energy Products - Act 321/2011,Law,2011,7
dk-10547,DK,The Danish Climate Policy Plan,Policy,2013,9
dk-act-amending-the-sustainable-biofuel-act,DK,Act amending the Sustainable Biofuel Act and on the reduction of greenhouse gases from transport,Law,2016,4
dk-10295,DK,Denmark’s Integrated National Energy and Climate Plan,Policy,2019,6
dk-executive-order-of-the-sustainable-biofu,DK,Executive Order of the Sustainable Biofuel Act and on the reduction of greenhouse gases (Biofuel Act),Law,2020,4
dk-12412,DK,Law on Climate,Law,2020,8
dk-11077,DK,Law on Climate (Climate Act),Law,2020,8
ee-11420,EE,National Environmental Strategy until 2030,Policy,2007,1
ee-11221,EE,Estonia 2020' National Reform Programme,Policy,2011,2
ee-12851,EE,Climate Change Adaptation Plan 2030,Policy,2017,0
ee-12524,EE,Estonian National Energy and Climate Plan until 2030 (REKK 2030),Policy,2019,6
ee-10300,EE,Estonia’s 2030 National Energy and Climate Plan (NECP 2030),Policy,2019,6
fi-10177,FI,Land Use and Building Act,Law,1999,3
fi-12195,FI,Act on Verification and Notification of the Origin of Electricity,Law,2003,2
fi-11264,FI,Land Use and Building Act (including 2003 amendment),Law,2003,3
fi-10176,FI,Flood Risk Management Act,Law,2010,10
fi-10178,FI,Law on Air Traffic Trading,Law,2010,5
fi-12208,FI,Act 490/2013 on wind power compensation areas,Law,2013,2
fi-10193,FI,National Climate Change Adaptation Plan 2022,Policy,2014,0
fi-10961,FI,Act on Aviation Emissions Trading (including amendments up to 2015),Law,2015,5
fi-12565,FI,Climate Change Act,Law,2015,8
fi-11277,FI,National Energy and Climate Strategy for 2030,Policy,2016,1
fi-10243,FI,Act 478/2017 on the distribution of alternative fuels for transport,Law,2017,5
fi-12266,FI,Law 416/2019 banning the use of coal for energy purposes,Law,2019,9
fi-12223,FI,Finland’s Integrated Energy and Climate Plan,Policy,2019,6
fi-11500,FI,"Entries to the meeting minutes, Government’s fourth supplementary budget",Law,2020,5
fi-10320,FI,Content of the draft budget,Law,2020,5
fr-12566,FR,"Energy Policy Framework (POPE, No. 2005-781)",Law,2005,3
fr-10792,FR,Grenelle I,Law,2009,1
fr-12669,FR,Grenelle II,Law,2010,7
fr-12682,FR,Thermal Regulation 2012 (RT 2012),Policy,2012,3
fr-12678,FR,"Farming, forest and alimentation Framework Law No. 2014-1170",Law,2014,0
fr-energy-code-measures-specific-to-vehicle,FR,Energy Code - Measures specific to vehicles: Sub-section 2: Amounts and methods of aid payments,Policy,2015,7
fr-11418,FR,National ecological transition strategy towards sustainable development,Policy,2015,8
fr-10832,FR,Law no. 2015-992 on Energy Transition for Green Growth (Energy Transition Law),Law,2015,1
fr-12310,FR,Decree n° 2015-1491 on the national carbon budgets and the national low-carbon strategy,Policy,2015,4
fr-decree-of-march-14-2016-validating-the-a,FR,"Decree of March 14, 2016 validating the ""Adverse"" program within the framework of the system of energy savings certificates",Policy,2016,11
fr-law-n-2016-1888-of-december-28-2016-of-m,FR,"Law n ° 2016-1888 of December 28, 2016 of modernization, development and protection of mountain territories (1)",Law,2016,8
fr-10332,FR,"Modified by law n ° 2016-1888 of December 28, 2016 - Art. 1",Law,2016,8
fr-12394,FR,The Recharge terminal financing program for electric vehicle,Policy,2016,11
fr-11696,FR,Climate Plan,Policy,2017,0
fr-11609,FR,General Tax Code - Article 1011b,Policy,2017,7
fr-10532,FR,The national climate change adaptation plan,Policy,2017,0
fr-11650,FR,Hydrogen deployment plan for energy transition,Policy,2018,2
fr-10298,FR,Energy Renovation in Buildings Plan,Policy,2018,7
fr-11499,FR,Plan for cycling and active mobility,Policy,2018,5
fr-11503,FR,ELAN law on housing and decree 2019-771,Law,2018,3
fr-10474,FR,National Health Strategy 2018-2022,Policy,2018,0
fr-11686,FR,French strategy for energy and climate,Policy,2019,1
fr-12298,FR,"Law n ° 2019-1270 of December 2, 2019 of amending finance for 2019 (1)",Law,2019,7
fr-12277,FR,The national ecological transition strategy towards sustainable development 2015-2020,Policy,2019,8
fr-10282,FR,Climate Convention report,Policy,2019,8
fr-12202,FR,Law no. 2019-1147 on Energy and the climate,Law,2019,8
fr-12374,FR,Mobility orientation law on transport (LOM),Law,2019,11
fr-10648,FR,Automobile support plan,Policy,2020,11
fr-12637,FR,"Decree No of April 21, 2020 relating to multi -year energy programming",Policy,2020,1
fr-12650,FR,France Relaunch Plan,Policy,2020,1
fr-12617,FR,National low-carbon strategy,Policy,2020,8
fr-12353,FR,France's Integrated Energy and Climate Plan,Policy,2020,6
fr-12640,FR,Construire la France de demain: Relancer l'économie et ressortir renforcé de la crise,Policy,2020,1
fr-order-relating-to-the-conditions-for-con,FR,Order relating to the conditions for converting combustion engine vehicles into battery or fuel cell electric engines,Policy,2020,5
fr-12370,FR,Decree n ° 2020-787 of 25 June 2020 relating to purchasers of last resort of biogas,Policy,2020,9
fr-12927,FR,National strategy for the development of carbon-free hydrogen in France,Policy,2020,5
fr-10305,FR,Aeronautic sector support plan 2020,Policy,2020,4
fr-law-n-2020-105-of-10-february-2020-relat,FR,LAW n ° 2020-105 of 10 February 2020 relating to the fight against waste and the circular economy,Law,2020,9
fr-12405,FR,"Abrogated by order n ° 2021-1843 of December 22, 2021 - Art. 10",Law,2021,7
fr-12547,FR,Bas-Carbon National Strategy (SNBC),Policy,2021,8
fr-decree-of-december-10-2021-creating-a-pr,FR,"Decree of December 10, 2021 creating a program as part of the system of energy savings certificates",Policy,2021,11
fr-12361,FR,"Law No. 2021-1900 of December 30, 2021 in finance for 2022 (1)",Law,2021,7
fr-10340,FR,Ordinance No. 2021-167 relating to hydrogen,Policy,2021,9
fr-law-no-2021-1104-on-the-fight-against-cl,FR,Law No 2021-1104 on the fight against climate change and the reinforcement of resilience in the face of its effects,Law,2021,8
fr-decree-n-2021-153-establishing-aid-for-i,FR,Decree n ° 2021-153 establishing aid for investments relating to rapid charging installations for electric vehicles on major roads,Policy,2021,11
fr-10444,FR,France 2030,Policy,2021,5
fr-10497,FR,Decree No. 2021-1840 relating to advertising in favor of motor vehicles,Policy,2021,4
fr-10691,FR,Multi -year energy programming (PPE),Policy,2022,1
fr-decree-no-2022-8-relating-to-the-minimum,FR,Decree No. 2022-8 relating to the minimum environmental performance result concerning the installation of heating or domestic hot water production equipment in a building,Policy,2022,9
de-12550,DE,Energy Saving Act (EnEG),Law,1976,3
de-10627,DE,Energy Consumption Labelling Act (EnVKG),Law,1997,4
de-12551,DE,Combined Heat and Power Act (KWKG),Law,2002,2
de-10617,DE,Law on the electricity and gas supply (Energy Industry Act - EnWG),Law,2005,9
de-10791,DE,Biofuel Quota Act (BioKraftQuG),Law,2007,5
de-10613,DE,Integrated Climate and Energy Programme (IEKP),Policy,2007,3
de-10629,DE,German adaptation strategy to climate change,Policy,2008,0
de-10552,DE,Renewable Energies Heat Act (EEWrmeG),Law,2008,3
de-12549,DE,Power Grid Expansion Act (EnLAG),Law,2009,2
de-10588,DE,"Energy Concept for an Environmentally Sound, Reliable and Affordable Energy Supply",Policy,2010,2
de-12552,DE,Energy and Climate Fund Act (EKFG),Law,2010,7
de-12569,DE,Grid Expansion Acceleration Act (NABEG),Law,2011,2
de-10759,DE,Carbon Capture and Storage Act (KSpG),Law,2012,5
de-11219,DE,Law for the expansion of renewable energies (Renewable Energy Sources Act - EEG 2017),Law,2014,2
de-11657,DE,Law for the expansion of renewable energies (Renewable Energy Sources Act - EEG 2021),Law,2014,2
de-10592,DE,National Energy Efficiency Action Plan (NEEAP),Policy,2014,3
de-10289,DE,Law on privileging the use of electric vehicles (Electromobility Act - EmoG),Law,2015,7
de-12453,DE,Law on the development and promotion of wind energy at sea (Windergie-on-Seee Act-Windseeg),Law,2016,2
de-10622,DE,Prohibition and minimisation of the risks of fracking technology,Law,2016,5
de-10678,DE,Law for the digitisation of the energy transition,Law,2016,9
de-11573,DE,Climate Action Plan 2050,Policy,2016,1
de-12757,DE,"Law for the conservation, modernisation and expansion of cogeneration",Law,2016,2
de-12451,DE,Law on the development and promotion of wind energy at sea (Windergie-on-Seee Act-Windseeg),Law,2017,2
de-12635,DE,Offshore Wind Energy Act (WindSeeG 2017),Law,2017,2
de-12297,DE,Federal Climate Change Act,Law,2019,7
de-12207,DE,Federal Law Gazette Part I No. 48,Law,2019,7
de-10302,DE,Integrated National Energy and Climate Plan,Policy,2019,6
de-12225,DE,Law on a national certificate trade for fuel emissions,Law,2019,7
de-11313,DE,Design of a first law to change the fuel emission trade law,Law,2020,7
de-introduction-to-the-templates-transferre,DE,Introduction to the templates transferred to the committees in accordance with Section 80 (3) and Section 92 of the Procedures,Law,2020,7
de-law-on-the-reduction-and-termination-of-,DE,Law on the reduction and termination of coal-fired power generation and the amendment of further laws (Kohleausstiegsgesetz),Law,2020,2
de-10804,DE,National Hydrogen Strategy (NWS),Policy,2020,11
de-11945,DE,Climate Change Act 2021,Law,2021,7
de-11853,DE,Reading of the Federal Climate Protection Act 2021,Law,2021,7
gr-law-no-2244-1994-on-the-regulation-of-po,GR,Law no. 2244/1994 on the Regulation of power generation issues from renewable energy sources and conventional fuels and other provisions,Law,1994,2
gr-second-national-climate-change-programme,GR,"Second National Climate Change Programme (approved by Act of the Ministerial Council 5/27.02.2003, amended in 2007)",Policy,2003,1
gr-10173,GR,Law 3299/04 on Private Investment Incentives for Economic Development and Regional Convergence,Law,2004,2
gr-10624,GR,Law 3423/2005 on Introducing Biofuels and other Renewable Fuels to the Greek Market,Law,2005,2
gr-law-l3468-2006-on-the-generation-of-elec,GR,Law L3468/2006 on the Generation of electricity from renewable energy sources and through high-efficiency co-generation of electricity and heat and miscellaneous provisions,Law,2006,2
gr-10758,GR,Law 3661/2008 on Measures to reduce energy consumption in buildings and other provisions,Law,2008,3
gr-law-3831-2010-on-revision-of-the-vehicle,GR,"Law 3831/2010 on 'Revision of the vehicle taxes regime for vehicles, abolishment of the vehicles recycling measures (scrappage scheme) and measures for tackling atmospheric pollution'",Law,2010,5
gr-law-3851-2010-on-accelerating-the-develo,GR,"Law 3851/2010 on 'Accelerating the development of Renewable Energy Sources to address climate change and other provisions on jurisdiction of the Ministry of Environment, Energy and Climate Change'",Law,2010,3
gr-law-3855-2010-on-measures-to-improve-ene,GR,"Law 3855/2010 on 'Measures to improve energy efficiency in end?use, energy services and other provisions'",Law,2010,2
gr-law-3889-2010-financing-environmental-in,GR,"Law 3889/2010 Financing Environmental Interventions, Green Fund, Ratification of Forest Maps and other provisions",Law,2010,3
gr-law-4001-2011-on-the-operation-of-electr,GR,"Law 4001/2011 on the Operation of Electricity and Gas Energy Markets, for Exploration, Production and Transmission Networks of Hydrocarbons and other provisions",Law,2011,2
gr--,GR,Νεο Καθεστως Στηριξης Των Σταθμων Παραγωγης Ηλεκτρικης Ενεργειας Απο Ανανεωσιμες Πηγες Ενεργειας Και Συμπαραγωγη Ηλεκτρισμου Και Θερμοτητας Υψηλης Αποδοσης,Law,2012,2
gr-ministerial-decision-21906-on-the-compen,GR,Ministerial Decision (21906) on the Compensation to those carbon intensive industries (sectors and sub-sectors) exposed to carbon leakage caused by the indirect costs of the EU Emissions Trading Scheme (as defined in the Directive 2009/29/EC),Law,2014,5
gr-11610,GR,Government Journal Of Greek Democration,Law,2016,2
gr-11970,GR,National Climate Change Adaptation Strategy,Policy,2016,0
gr-11888,GR,National Strategy For Accessible Climate Change,Policy,2016,0
gr-10380,GR,National Circular Economy Strategy,Policy,2018,8
gr-10316,GR,National Energy and Climate Plan,Policy,2019,6
gr-law-4643-2019-on-energy-market-liberalis,GR,"Law 4643/2019 on Energy market liberalisation, PPC modernisation, DEPA privatisation and RES support and other provisions",Law,2019,11
gr-12472,GR,Law 4685/2020-Government Gazette 92/A/7-5-2020 (coded),Law,2020,2
gr-12090,GR,Legislation Project,Law,2020,2
gr-10360,GR,National Plan for E-mobility,Policy,2020,11
gr-law-4759-2020-on-the-modernisation-of-sp,GR,Law 4759/2020 on the Modernisation of Spatial and Urban Planning Legislation and other provisions,Law,2020,9
hu-11434,HU,Act LXXIV on disaster protection,Law,1999,10
hu-10776,HU,National Climate Change Strategy,Law,2008,0
hu-10623,HU,National Climate Change Strategy 2008-2025,Law,2008,0
hu-10633,HU,Governmental Decree No.2019 of 2008 adopting the National Energy Efficiency Action Plan,Policy,2008,3
hu-10902,HU,Act No.86 of 2011 on Electricity (Electricity Act),Law,2011,2
hu-act-no-117-of-2010-concerning-the-promot,HU,Act no. 117 of 2010 concerning the promotion of the use of renewable energy for transport and the greenhouse effect reduction of energy used for transport purposes (Biofuels Act),Law,2011,4
hu-act-no-clxviii-on-handling-weather-relat,HU,Act No. CLXVIII on handling weather-related and other natural risks affecting agricultural production,Law,2011,10
hu-11842,HU,Act No. CXXVIII concerning disaster management and amending certain related acts,Law,2011,10
hu-10394,HU,National Energy Strategy 2030,Policy,2012,1
hu-11841,HU,Act No. LVII concerning energy efficiency,Law,2015,3
hu-10364,HU,National Building Energy Strategy 2015 - 2020,Policy,2015,3
hu-10317,HU,National Energy and Climate Plan,Policy,2019,6
hu-12357,HU,Hungary's National Hydrogen Strategy,Policy,2021,5
hu-10398,HU,Hungary’S National Hydrogen Strategy,Policy,2021,5
ie-12712,IE,"Coast Protection Act, 1963",Law,1963,10
ie-12730,IE,"Finance Act, 1992",Law,1992,7
ie-11013,IE,"Electricity Regulation Act, Number 23 of 1999",Law,1999,2
ie-11020,IE,"Motor Vehicles (Duties and Licences) Act, 2001",Law,2001,5
ie-12717,IE,Sustainable Energy Act Number 2 of 2002,Law,2002,3
ie-energy-white-papers-on-delivering-a-sust,IE,Energy White Papers on 'Delivering a Sustainable Energy Future for Ireland? : The Energy Policy Framework 2007-2020',Policy,2007,2
ie-12818,IE,"Carbon Fund Act 2007, Number 12 of 2007",Law,2007,5
ie-11016,IE,Smarter Travel - A Sustainable Transport Future: A New Transport Policy for Ireland 2009-2020,Policy,2009,5
ie-energy-biofuel-obligation-and-miscellane,IE,Energy (Biofuel Obligation and Miscellaneous Provisions) Act 2010 (No. 11 of 2010) of the National Oil Reserves Agency Act 2007 (No.7 of 2007),Law,2010,4
ie-12711,IE,"Energy (Miscellaneous Provisions) Act 2012, Number 3 of 2012",Law,2012,2
ie-12627,IE,Finance Act 2013,Law,2013,7
ie-11868,IE,Motor Vehicles (Duties and Licences) Act 2013,Law,2013,5
ie-11004,IE,Offshore Renewable Energy Development Plan,Policy,2014,2
ie-11009,IE,Climate Action and Low Carbon Development Act 2015,Law,2015,8
ie-12332,IE,Prohibition of Exploration and Extraction of Onshore Petroleum Bill 2016,Law,2016,9
ie-10276,IE,Resolution approving the establishment of the Citizens' Assembly,Law,2016,8
ie-petroleum-and-other-minerals-development,IE,Petroleum and Other Minerals Development (Prohibition of Onshore Hydraulic Fracturing) Act 2017,Law,2017,9
ie-12553,IE,National Mitigation Plan,Policy,2017,1
ie-11850,IE,National Development Plan 2018-2027,Policy,2018,1
ie-11017,IE,National Adaptation Framework,Policy,2018,0
ie-12846,IE,Fossil Fuel Divestment Act 2018,Law,2018,5
ie-10255,IE,Climate Action Plan,Policy,2019,8
ie-10315,IE,Ireland's National Energy and Climate Plan,Policy,2020,6
ie-11543,IE,July Jobs Stimulus,Policy,2020,1
ie-10741,IE,National Home Retrofit Scheme 2020 (One Stop Shop Development Call),Policy,2020,11
ie-12411,IE,Climate Action and Low Carbon Development (Amendment) Bill 2021,Law,2021,8
ie-government-approves-landmark-climate-bil,IE,Government approves landmark Climate Bill putting Ireland on the path to net-zero emissions by 2050,Law,2021,8
it-11422,IT,Act No. 225 establishment of the National Civil Protection Service,Law,1992,10
it-law-of-23-december-2000-n-388-provisions,IT,"Law of 23 December 2000, n. 388 ""Provisions for the formation of the annual and multi -year budget of the State (financial law 2001)""",Law,2000,1
it-10855,IT,National Plan for Biofuels and Biomass (CIPE resolutions: 15/02/2000 ),Policy,2000,1
it-12691,IT,Fund for GHG emissions reduction and energy efficiency (Finance Law 2001),Law,2000,5
it-utility-targets-for-increasing-energy-ef,IT,Utility targets for increasing energy efficiency/introduction of white certificates (Ministerial Decree),Policy,2001,2
it-cipe-resolution-december-19-2002-n-123-2,IT,"CIPE resolution December 19, 2002, n. 123/2002 review of the guidelines for national policies and measures to reduce greenhouse gas emissions (law n. 120/2002)",Policy,2002,8
it-11442,IT,Introduction of the Green Certificates System,Policy,2002,3
it-l-23-august-2004-n-239-reorganization-of,IT,"L. 23 August 2004, n. 239 reorganization of the energy sector, as well as delegation to the government for the reorganization of the provisions in force on energy",Law,2004,9
it-law-23-august-2004-n-239-reorganization-,IT,"Law 23 August 2004, n. 239 reorganization of the energy sector, as well as delegation to the government for the reorganization of the provisions in force on energy",Law,2004,9
it-12816,IT,Biofuel (Decree no. 128/2005 and Ministerial Decree of 13-dec-17),Policy,2005,5
it-10856,IT,White Certificate Trading for End-Use Energy Efficiency,Policy,2005,2
it-law-27-december-2006-n-296-provisions-fo,IT,"Law 27 December 2006, n. 296 ""Provisions for the formation of the annual and multi -year budget of the State (financial law 2007)""",Law,2006,1
it-criteria-and-methods-to-encourage-the-pr,IT,"Criteria and methods to encourage the production of electricity by photovoltaic conversion of the sun source, in implementation of article 7 of Legislative Decree 29 December 2003, n. 387.",Policy,2007,3
it-law-29-november-2007-n-222-conversion-in,IT,"Law 29 November 2007, n. 222 ""conversion into law, with modifications, of the decree-law 1 October 2007, n. 159, containing urgent interventions in economic-financial matters, for development and social equity""",Law,2007,7
it-resolution-11-december-2007-update-of-th,IT,"Resolution 11 December 2007 Update of the CIPE resolution no. 123/2002 containing ""revision of the guidelines for national policies and measures to reduce gas-southern emissions"". (Resolution no. 135/2007).",Policy,2007,8
it-12885,IT,Climate Change Action Plan (CIPE Deliberation No. 135/2007),Policy,2007,2
it-decree-18-december-2008-incentive-of-the,IT,"Decree 18 December 2008 Incentive of the production of electricity from renewable sources, pursuant to article 2, paragraph 150, of the law of 24 December 2007, n. 244.",Law,2008,7
it-provisions-for-the-formation-of-the-annu,IT,Provisions for the formation of the annual and multi -year budget of the State (2008 Financial Law),Law,2008,7
it-law-23-july-2009-n-99-provisions-for-the,IT,"Law 23 July 2009, n. 99 ""Provisions for the development and internationalization of businesses, as well as on energy""",Law,2009,7
it-law-of-23-december-2009-n-191-provisions,IT,"Law of 23 December 2009, n. 191. Provisions for the formation of the annual and multi -year budget of the state (financial law 2010)",Law,2009,1
it-11278,IT,Law concerning anti-crisis measures: energy provisions (Law no. 102),Law,2009,2
it-11203,IT,Cleaner vehicle purchase incentives (Decree Law No. 5 of 2009),Law,2009,7
it-11206,IT,Special fund to support the implementation of energy efficiency targets (Decree Law no. 40),Policy,2010,3
it-2010-and-2019-finance-laws-on-energy-eff,IT,2010 and 2019 Finance Laws on Energy efficient buildings and biofuel standards and on incentives for biogas,Law,2010,3
it-11903,IT,Italy's National Energy Strategy: For a more competitive and sustainable energy,Policy,2013,1
it-11106,IT,National energy strategy: for a more competitive and sustainable energy,Policy,2013,1
it-law-no-116-ratifying-with-amendments-the,IT,"Law no. 116, ratifying with amendments the Law Decree no. 91 of 24 June 2014 on 'Urgent provisions for the agricultural sector, environment, company development and, inter alia, reduction of energy bills'",Law,2014,7
it-10799,IT,Law Decree no. 145/20131 (the 'Destinazione Italia Decree'),Law,2014,3
it-law-27-december-2017-n-205-state-forecas,IT,"Law 27 December 2017, n. 205 State forecast budget for the 2018 financial year and multi-year budget for the three-year period 2018-2020. (17G00222)",Law,2017,1
it-10294,IT,Integrated National Energy And Climate Plan,Policy,2019,6
it-10671,IT,Integrated national plan for energy and climate,Policy,2019,6
it-10272,IT,Law No. 37/ May 2019,Law,2019,9
it-12216,IT,FER1 Decree to incentivise the production of energy from renewable sources,Policy,2019,11
it-10264,IT,Decree-Law No. 111/2019,Law,2019,5
it-decree-law-19-may-2020-n-34-urgent-measu,IT,"Decree-law 19 May 2020, n. 34.: Urgent measures on health, support for work and economy, as well as social policies connected to the epidemiological emergency by Covid-19",Law,2020,11
it-decree-law-containing-urgent-measures-on,IT,"Decree-law containing urgent measures on health, support for work and economy, as well as social policies, connected to the epidemiological emergency by Covid-19",Law,2020,11
lv-11752,LV,Latvia's Strategic Development Plan 2010-2013,Policy,2010,1
lv-11644,LV,Sustainable Development Strategy for Latvia until 2030,Policy,2010,5
lv-11960,LV,Latvian National Development Plan 2014-2020,Policy,2014,1
lv-12447,LV,Latvia's strategy to achieve climate by 2050 by 2050,Policy,2019,1
lv-10670,LV,Latvia's National Energy and Climate Plan 2021-2030,Policy,2021,6
lv-12324,LV,Latvia’S National Energy And Climate Plan 2021–2030,Policy,2021,6
lt-11954,LT,Resolution Approving The National Strategy For Climate Change Management Policy,Policy,2012,1
lt-11759,LT,Resolution on Approval of National Climate Change Management Policy Strategy,Policy,2012,1
lt-11224,LT,National Forest Sector Development Programme for 2012-2020,Policy,2012,5
lt-12255,LT,The DNA of the Future Economy plan,Policy,2020,8
lt-12409,LT,National Action Plan of Energy and Climate of the Republic of Lithuania 2021-2030,Policy,2021,6
lt-10312,LT,National Energy And Climate Action Plan Of The Republic Of Lithuania For 2021-2030,Policy,2021,6
lu-12503,LU,Law instituting the fund for the protection of the environment,Law,1999,0
lu-10213,LU,Action Plan towards the reduction of greenhouse gases emissions,Policy,2006,1
