tech,carrier,gj_per_t,source,source_url
cement_ccs,natural_gas,0.6,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage - capture-penalty energy use cross-checked against DEA sheet 401.c/401.a heat and electricity input per tCO2 captured and found consistent with this pre-existing figure; retained unchanged.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
cement_ccs,electricity,0.9,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage - capture-penalty energy use cross-checked against DEA sheet 401.c/401.a heat and electricity input per tCO2 captured and found consistent with this pre-existing figure; retained unchanged.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
cement_altfuel,biomass,1.8,"IEA / CSI (2018), Technology Roadmap: Low-Carbon Transition in the Cement Industry",https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry
cement_altfuel,coal,0.3,"IEA / CSI (2018), Technology Roadmap: Low-Carbon Transition in the Cement Industry",https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry
cement_altfuel,natural_gas,0.1,"IEA / CSI (2018), Technology Roadmap: Low-Carbon Transition in the Cement Industry",https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry
cement_altfuel,electricity,0.45,"IEA / CSI (2018), Technology Roadmap: Low-Carbon Transition in the Cement Industry",https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry
hvc_ref,natural_gas,12,"IEA (2018), The Future of Petrochemicals",https://www.iea.org/reports/the-future-of-petrochemicals
hvc_ref,oil,1,"IEA (2018), The Future of Petrochemicals",https://www.iea.org/reports/the-future-of-petrochemicals
hvc_ref,electricity,1.2,"IEA (2018), The Future of Petrochemicals",https://www.iea.org/reports/the-future-of-petrochemicals
hvc_elec,natural_gas,1.2,"BASF / SABIC / Linde (2024), Start-up of the world's first large-scale electrically heated steam cracking furnace",https://www.basf.com/global/en/media/news-releases/2024/04/p-24-177
hvc_elec,oil,0.3,"BASF / SABIC / Linde (2024), Start-up of the world's first large-scale electrically heated steam cracking furnace",https://www.basf.com/global/en/media/news-releases/2024/04/p-24-177
hvc_elec,electricity,11,"BASF / SABIC / Linde (2024), Start-up of the world's first large-scale electrically heated steam cracking furnace",https://www.basf.com/global/en/media/news-releases/2024/04/p-24-177
hvc_bio,natural_gas,9,"IEA (2018), The Future of Petrochemicals",https://www.iea.org/reports/the-future-of-petrochemicals
hvc_bio,oil,1,"IEA (2018), The Future of Petrochemicals",https://www.iea.org/reports/the-future-of-petrochemicals
hvc_bio,electricity,2,"IEA (2018), The Future of Petrochemicals",https://www.iea.org/reports/the-future-of-petrochemicals
hvc_ccs,natural_gas,13.5,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage - capture-penalty energy use cross-checked against DEA sheet 401.c/401.a heat and electricity input per tCO2 captured and found consistent with this pre-existing figure; retained unchanged.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
hvc_ccs,oil,1,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage - capture-penalty energy use cross-checked against DEA sheet 401.c/401.a heat and electricity input per tCO2 captured and found consistent with this pre-existing figure; retained unchanged.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
hvc_ccs,electricity,2.2,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage - capture-penalty energy use cross-checked against DEA sheet 401.c/401.a heat and electricity input per tCO2 captured and found consistent with this pre-existing figure; retained unchanged.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
ammonia_smr,natural_gas,29,"IEA (2021), Ammonia Technology Roadmap",https://www.iea.org/reports/ammonia-technology-roadmap
ammonia_smr,electricity,0.5,"IEA (2021), Ammonia Technology Roadmap",https://www.iea.org/reports/ammonia-technology-roadmap
ammonia_smr_ccs,natural_gas,30.5,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage - capture-penalty energy use cross-checked against DEA sheet 401.c/401.a heat and electricity input per tCO2 captured and found consistent with this pre-existing figure; retained unchanged.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
ammonia_smr_ccs,electricity,1.2,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage - capture-penalty energy use cross-checked against DEA sheet 401.c/401.a heat and electricity input per tCO2 captured and found consistent with this pre-existing figure; retained unchanged.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
ammonia_h2,hydrogen,22,"Danish Energy Agency (2026), Technology Data for Renewable Fuels (sheet 5.4, 0.18 t H2/t NH3 at ~120 GJ/t H2 LHV = 21.6 GJ/t, consistent with this pre-existing 22 GJ/t figure) - retained.",https://ens.dk/en/analyses-and-statistics/technology-data-renewable-fuels
ammonia_h2,electricity,3,"IEA (2021), Ammonia Technology Roadmap - Executive Summary - retained: DEA sheet 5.4 explicitly excludes the air-separation unit (ASU) that this electricity mainly serves, so it is outside DEA's scope here.",https://www.iea.org/reports/ammonia-technology-roadmap/executive-summary
alu_ref,electricity,51,"JRC (European Commission) (2026), Aluminium factsheet (JRC144120)",https://publications.jrc.ec.europa.eu/repository/bitstream/JRC144120/Aluminium_factsheet_JRC144120.pdf
alu_ref,natural_gas,1,"JRC (European Commission) (2026), Aluminium factsheet (JRC144120)",https://publications.jrc.ec.europa.eu/repository/bitstream/JRC144120/Aluminium_factsheet_JRC144120.pdf
alu_inert,electricity,52,"ELYSIS (2025), ELYSIS achieves breakthrough with commercial-size cell",https://elysis.com/en/elysis-achieves-breakthrough-with-commercial-size-cell-a-first-in-aluminium-production-using-the
alu_inert,natural_gas,0.5,"ELYSIS (2025), ELYSIS achieves breakthrough with commercial-size cell",https://elysis.com/en/elysis-achieves-breakthrough-with-commercial-size-cell-a-first-in-aluminium-production-using-the
alu_sec,electricity,2.55,"Material Economics (2019), Industrial Transformation 2050 - Pathways to Net-Zero Emissions from EU Heavy Industry",https://materialeconomics.com/sites/default/files/2024-06/material-economics-industrial-transformation-2050-executive-summary.pdf
alu_sec,natural_gas,1.5,"Material Economics (2019), Industrial Transformation 2050 - Pathways to Net-Zero Emissions from EU Heavy Industry",https://materialeconomics.com/sites/default/files/2024-06/material-economics-industrial-transformation-2050-executive-summary.pdf
glass_ng,natural_gas,6,"European Commission (CINEA) (2022), How LIFE is reducing emissions from glass production",https://cinea.ec.europa.eu/news-events/news/how-life-reducing-emissions-glass-production-2022-03-16_en
glass_ng,electricity,0.6,"European Commission (CINEA) (2022), How LIFE is reducing emissions from glass production",https://cinea.ec.europa.eu/news-events/news/how-life-reducing-emissions-glass-production-2022-03-16_en
glass_elec,natural_gas,0.3,"IEA (2024), ETP Clean Energy Technology Guide (technology readiness levels)",https://www.iea.org/data-and-statistics/data-tools/etp-clean-energy-technology-guide
glass_elec,electricity,5.5,"IEA (2024), ETP Clean Energy Technology Guide (technology readiness levels)",https://www.iea.org/data-and-statistics/data-tools/etp-clean-energy-technology-guide
glass_hybrid,natural_gas,3,"IEA (2024), ETP Clean Energy Technology Guide (technology readiness levels)",https://www.iea.org/data-and-statistics/data-tools/etp-clean-energy-technology-guide
glass_hybrid,electricity,3,"IEA (2024), ETP Clean Energy Technology Guide (technology readiness levels)",https://www.iea.org/data-and-statistics/data-tools/etp-clean-energy-technology-guide
paper_ref,natural_gas,8,"CEPI (2022), Key Statistics 2022 - European pulp & paper industry",https://www.cepi.org/wp-content/uploads/2023/07/2022-Key-Statistics-FINAL.pdf
paper_ref,electricity,2,"CEPI (2022), Key Statistics 2022 - European pulp & paper industry",https://www.cepi.org/wp-content/uploads/2023/07/2022-Key-Statistics-FINAL.pdf
paper_elec,natural_gas,1,"Danish Energy Agency (2026), Technology Data for Industrial Process Heat (sheet 2.a note: steam generation reduces heat-pump COP) - retained unchanged as high-temperature steam trim allowance.",https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat
paper_elec,electricity,4.7,"Danish Energy Agency (2026), Technology Data for Industrial Process Heat (sheet 2.a, high-temperature heat pump, COP 2.8 at 2030 est.); 7.5 GJ/t useful heat / COP 2.8 = 2.7 GJ/t for heat supply, plus 2.0 GJ/t unchanged baseline (non-heat) electricity = 4.7 GJ/t total, down from the prior 5.5 GJ/t IEA estimate reflecting DEA's documented heat-pump COP.",https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat
paper_bio,natural_gas,0.3,"Danish Energy Agency (2026), Technology Data for Industrial Process Heat (sheet 6.2) - retained unchanged as start-up/trim allowance.",https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat
paper_bio,biomass,8.5,"Danish Energy Agency (2026), Technology Data for Industrial Process Heat (sheet 6.2, biomass boiler, 88.9% annual-average efficiency); 7.5 GJ/t useful heat / 0.889 = 8.4-8.5 GJ/t fuel input, down slightly from the prior 9 GJ/t IEA Bioenergy estimate.",https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat
paper_bio,electricity,2,"Danish Energy Agency (2026), Technology Data for Industrial Process Heat (sheet 6.2, auxiliary electricity ~2% of heat gen) - retained unchanged.",https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat
