tech,year,capex_eur_t,basis,source,source_url
cement_ccs,2040,325,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_ccs,2045,325,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_ccs,2050,325,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_altfuel,2025,165,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_altfuel,2030,165,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_altfuel,2035,165,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_altfuel,2040,165,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_altfuel,2045,165,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
cement_altfuel,2050,165,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_ref,2025,700,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_ref,2030,700,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_ref,2035,700,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_ref,2040,700,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_ref,2045,700,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_ref,2050,700,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_elec,2025,850,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_elec,2030,850,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_elec,2035,850,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_elec,2040,850,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_elec,2045,850,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_elec,2050,850,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_bio,2025,720,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_bio,2030,720,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_bio,2035,720,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_bio,2040,720,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_bio,2045,720,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_bio,2050,720,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_ccs,2025,1020,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_ccs,2030,1020,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_ccs,2035,1020,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_ccs,2040,1020,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_ccs,2045,1020,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
hvc_ccs,2050,1020,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_smr,2025,650,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_smr,2030,650,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_smr,2035,650,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_smr,2040,650,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_smr,2045,650,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_smr,2050,650,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_smr_ccs,2025,1020,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_smr_ccs,2030,1020,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_smr_ccs,2035,1020,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_smr_ccs,2040,1020,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_smr_ccs,2045,1020,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_smr_ccs,2050,1020,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_h2,2025,1000,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_h2,2030,1000,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_h2,2035,1000,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_h2,2040,1000,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_h2,2045,1000,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
ammonia_h2,2050,1000,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_ref,2025,3500,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_ref,2030,3500,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_ref,2035,3500,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_ref,2040,3500,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_ref,2045,3500,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_ref,2050,3500,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_inert,2025,3800,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_inert,2030,3800,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_inert,2035,3800,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_inert,2040,3800,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_inert,2045,3800,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_inert,2050,3800,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_sec,2025,700,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_sec,2030,700,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_sec,2035,700,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_sec,2040,700,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_sec,2045,700,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
alu_sec,2050,700,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_ng,2025,120,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_ng,2030,120,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_ng,2035,120,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_ng,2040,120,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_ng,2045,120,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_ng,2050,120,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_elec,2025,150,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_elec,2030,150,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_elec,2035,150,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_elec,2040,150,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_elec,2045,150,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_elec,2050,150,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_hybrid,2025,140,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_hybrid,2030,140,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_hybrid,2035,140,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_hybrid,2040,140,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_hybrid,2045,140,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
glass_hybrid,2050,140,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_ref,2025,250,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_ref,2030,250,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_ref,2035,250,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_ref,2040,250,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_ref,2045,250,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_ref,2050,250,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_elec,2025,300,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_elec,2030,300,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_elec,2035,300,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_elec,2040,300,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_elec,2045,300,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_elec,2050,300,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_bio,2025,230,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_bio,2030,230,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_bio,2035,230,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_bio,2040,230,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_bio,2045,230,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
paper_bio,2050,230,STUB — flat at 2025 level pending literature trajectories,Model assumption (prototype),beta/modules/summer-prep/optimization/model/README.md
